TimeOfDay,PassengerVolume,HubCongestion,Season,Weather,TrackIncident,InfraFailure,DepartureDelay,SpeedRestriction,ArrivalDelay,CompensationClaim
MorningRush,High,True,Spring,Rain,True,True,Major,True,Minor,True
MorningRush,Low,True,Spring,Rain,False,False,Major,True,Minor,False
Night,Low,True,Spring,Clear,False,False,Minor,False,Minor,True
EveningRush,Normal,True,Spring,Rain,False,False,NoDelay,True,Major,True
Night,Low,False,Spring,Rain,False,True,NoDelay,True,NoDelay,False
Night,Low,True,Autumn,Rain,True,True,Major,True,Major,False
EveningRush,Normal,False,Winter,Storm,True,True,NoDelay,False,Minor,True
MorningRush,Low,True,Spring,Rain,True,True,Minor,True,Major,True
EveningRush,Normal,False,Spring,Snow,False,False,Minor,True,Major,True
MorningRush,High,True,Spring,Rain,True,False,NoDelay,True,NoDelay,False
EveningRush,Normal,True,Summer,Snow,False,False,NoDelay,True,NoDelay,False
EveningRush,Low,True,Winter,Clear,False,True,Major,True,Minor,False
MorningRush,Low,False,Autumn,Clear,False,True,Major,False,NoDelay,False
EveningRush,Low,False,Spring,Snow,True,False,Minor,False,Major,False
MorningRush,Low,False,Autumn,Snow,True,False,Minor,True,Minor,True
EveningRush,Normal,True,Autumn,Snow,False,True,Major,True,Minor,False
Night,High,False,Autumn,Rain,False,False,Minor,True,NoDelay,False
Midday,Normal,True,Winter,Rain,False,True,Major,True,Minor,True
Midday,High,False,Spring,Snow,False,True,Major,True,Major,True
EveningRush,Normal,True,Autumn,Rain,False,True,Minor,True,Major,False
Night,High,False,Autumn,Rain,False,True,Minor,True,Minor,True
MorningRush,High,False,Spring,Snow,True,False,Minor,False,Major,False
EveningRush,Normal,True,Spring,Snow,False,False,NoDelay,True,NoDelay,True
MorningRush,Low,True,Spring,Snow,False,True,Major,True,Minor,True
Night,High,True,Spring,Snow,True,False,Major,True,Minor,False
Midday,Normal,True,Spring,Storm,True,False,NoDelay,False,Minor,False
EveningRush,Low,True,Spring,Snow,False,True,Major,True,Minor,False
EveningRush,Low,False,Autumn,Clear,False,True,NoDelay,True,NoDelay,True
Night,High,False,Summer,Clear,False,False,Minor,True,NoDelay,False
MorningRush,Low,False,Spring,Rain,False,True,Major,True,Minor,True
Night,Normal,False,Spring,Clear,True,False,Minor,True,Minor,True
Night,High,False,Spring,Snow,False,False,Minor,True,Major,True
EveningRush,Normal,True,Spring,Snow,True,False,NoDelay,True,NoDelay,False
Night,High,True,Autumn,Clear,True,True,Major,False,Minor,True
EveningRush,Normal,True,Autumn,Clear,False,True,Minor,False,Minor,True
EveningRush,Normal,False,Winter,Rain,True,True,Major,True,Minor,False
EveningRush,Normal,False,Spring,Snow,False,True,NoDelay,True,NoDelay,False
MorningRush,Low,False,Spring,Clear,True,False,Minor,False,NoDelay,True
EveningRush,Low,False,Spring,Snow,False,True,NoDelay,True,NoDelay,False
MorningRush,Low,True,Winter,Snow,False,True,Minor,True,Major,False
Midday,Low,True,Autumn,Clear,False,True,NoDelay,True,NoDelay,False
EveningRush,Low,False,Spring,Storm,True,False,Minor,True,Major,False
EveningRush,Normal,False,Spring,Snow,True,False,Minor,True,Major,False
EveningRush,Low,False,Winter,Clear,False,True,Major,True,Minor,False
EveningRush,Low,True,Autumn,Rain,False,True,Minor,True,Minor,False
EveningRush,Normal,False,Autumn,Rain,False,False,Minor,True,Major,True
MorningRush,Low,False,Winter,Storm,True,True,NoDelay,True,NoDelay,False
EveningRush,Low,False,Winter,Clear,True,True,NoDelay,True,NoDelay,False
EveningRush,Low,False,Winter,Clear,True,True,Minor,False,NoDelay,False
Night,Low,False,Spring,Rain,False,False,Major,True,Minor,False
Night,High,False,Autumn,Clear,False,False,Minor,True,NoDelay,False
Night,Low,True,Autumn,Snow,False,False,Major,True,Minor,True
MorningRush,Low,False,Autumn,Clear,False,False,Minor,True,Minor,True
MorningRush,High,True,Autumn,Snow,False,True,Major,True,Minor,True
MorningRush,High,False,Autumn,Rain,False,True,Major,True,Minor,False
Night,High,False,Winter,Clear,True,False,Major,False,NoDelay,False
MorningRush,High,False,Autumn,Clear,False,False,Minor,True,Minor,True
Night,High,False,Autumn,Clear,False,False,Minor,False,Major,True
EveningRush,Normal,False,Autumn,Clear,False,False,Major,True,Major,False
EveningRush,Low,False,Autumn,Rain,False,True,NoDelay,True,Minor,True
MorningRush,High,False,Spring,Snow,False,True,Major,True,Minor,False
EveningRush,Normal,True,Spring,Snow,False,True,Major,True,NoDelay,False
EveningRush,Low,True,Autumn,Rain,False,False,NoDelay,True,NoDelay,False
MorningRush,High,False,Autumn,Clear,True,True,Minor,False,Minor,True
MorningRush,High,False,Autumn,Clear,True,False,Minor,False,Major,True
Night,High,False,Spring,Clear,True,False,Minor,False,Major,False
Night,High,False,Spring,Clear,False,True,NoDelay,True,Major,True
Night,Low,False,Autumn,Rain,False,False,Minor,True,NoDelay,False
MorningRush,High,True,Spring,Snow,False,False,NoDelay,True,Minor,True
Night,Low,True,Spring,Clear,False,False,Major,True,Minor,False
Night,High,False,Autumn,Snow,False,True,NoDelay,True,NoDelay,False
Night,Low,False,Winter,Storm,False,False,Minor,True,Major,True
Night,Low,True,Autumn,Snow,False,True,Minor,True,NoDelay,False
MorningRush,Low,False,Spring,Snow,False,True,Minor,True,NoDelay,False
Night,High,False,Autumn,Clear,True,True,NoDelay,False,Minor,True
Night,High,False,Spring,Clear,False,False,Minor,True,Minor,True
EveningRush,Low,True,Spring,Rain,False,False,NoDelay,True,NoDelay,False
EveningRush,Normal,True,Spring,Snow,True,False,NoDelay,True,NoDelay,False
Night,Low,True,Autumn,Rain,False,True,Major,True,Minor,False
EveningRush,Normal,True,Autumn,Clear,False,True,Major,True,Minor,False
EveningRush,Normal,False,Spring,Snow,False,True,NoDelay,True,Minor,False
EveningRush,Normal,True,Autumn,Rain,False,True,Minor,False,NoDelay,False
Night,High,False,Spring,Clear,False,False,Minor,False,NoDelay,False
MorningRush,High,False,Autumn,Storm,False,False,Minor,True,Minor,False
EveningRush,Normal,True,Winter,Rain,False,True,NoDelay,True,NoDelay,False
MorningRush,Low,False,Autumn,Clear,False,True,Minor,False,Major,True
Night,High,False,Spring,Clear,True,False,Minor,False,NoDelay,False
MorningRush,Low,False,Spring,Snow,False,False,Minor,True,NoDelay,False
MorningRush,High,False,Spring,Snow,False,True,NoDelay,True,NoDelay,False
Night,Low,False,Autumn,Rain,True,False,Minor,True,NoDelay,False
EveningRush,Normal,True,Autumn,Clear,False,True,Major,False,NoDelay,False
Night,Low,False,Winter,Storm,False,False,Minor,True,Major,True
Midday,Normal,True,Autumn,Clear,False,True,Minor,False,Minor,True
MorningRush,High,False,Summer,Storm,False,True,NoDelay,True,Major,True
MorningRush,Low,False,Spring,Rain,True,True,Minor,True,NoDelay,False
Night,High,False,Spring,Snow,False,True,NoDelay,True,Minor,True
MorningRush,Low,False,Spring,Storm,False,True,Major,True,Minor,False
Night,Low,True,Autumn,Rain,False,True,Major,True,Major,False
Night,High,False,Spring,Snow,False,True,NoDelay,True,NoDelay,False
MorningRush,High,True,Autumn,Rain,True,False,NoDelay,True,NoDelay,False
EveningRush,Normal,False,Autumn,Rain,False,True,Major,True,NoDelay,False
Night,Low,False,Spring,Clear,True,True,Major,False,NoDelay,True
Night,Low,False,Winter,Storm,True,False,Minor,True,Major,False
Night,High,True,Spring,Clear,False,True,Minor,True,NoDelay,False
Midday,Normal,True,Spring,Snow,True,False,NoDelay,True,NoDelay,False
MorningRush,High,False,Spring,Snow,False,True,Major,True,NoDelay,False
EveningRush,Normal,True,Summer,Clear,True,True,Major,False,Minor,True
MorningRush,High,False,Winter,Rain,False,False,Minor,True,Minor,True
EveningRush,Low,True,Autumn,Snow,False,True,NoDelay,True,NoDelay,False
Midday,High,False,Spring,Clear,True,True,NoDelay,False,Minor,False
MorningRush,Low,True,Autumn,Storm,False,True,Minor,True,Major,False
EveningRush,Low,False,Spring,Rain,False,True,Minor,True,Minor,True
Night,High,False,Spring,Clear,False,False,Minor,True,Minor,True
MorningRush,High,True,Autumn,Clear,True,True,Minor,False,NoDelay,False
MorningRush,Low,True,Autumn,Rain,False,False,NoDelay,True,NoDelay,False
MorningRush,Low,True,Spring,Snow,True,False,Minor,False,Minor,False
EveningRush,Normal,True,Autumn,Snow,False,True,Major,True,Minor,True
Night,Low,True,Spring,Snow,False,False,Major,True,Minor,True
EveningRush,Normal,True,Spring,Clear,True,False,NoDelay,False,Minor,True
Night,Low,False,Autumn,Clear,False,True,Major,True,Minor,True
Night,High,False,Winter,Snow,False,True,Major,False,Minor,False
MorningRush,Low,True,Autumn,Clear,False,False,Minor,True,Minor,False
Night,High,False,Autumn,Clear,False,True,Minor,True,Minor,False
Midday,High,False,Autumn,Storm,False,True,Minor,False,Minor,True
MorningRush,High,False,Autumn,Rain,False,True,Minor,True,Minor,False
Night,High,False,Spring,Clear,False,False,Minor,True,Major,True
EveningRush,Normal,True,Autumn,Rain,False,False,NoDelay,True,NoDelay,False
EveningRush,Low,False,Autumn,Clear,True,True,NoDelay,False,Minor,True
Night,High,False,Spring,Clear,True,False,Minor,True,Major,True
MorningRush,Low,True,Autumn,Rain,False,True,Major,True,Minor,False
Night,Low,True,Spring,Clear,False,True,Major,False,NoDelay,False
MorningRush,Low,False,Summer,Storm,True,True,NoDelay,False,Minor,False
Midday,High,True,Winter,Rain,False,True,Major,True,Minor,False
Midday,Normal,True,Autumn,Rain,False,False,Major,True,Minor,True
Midday,Normal,True,Spring,Rain,False,True,Minor,False,Major,False
EveningRush,Normal,False,Spring,Snow,False,False,Minor,True,Minor,False
MorningRush,High,False,Winter,Storm,False,True,NoDelay,True,NoDelay,False
EveningRush,Normal,True,Autumn,Rain,False,True,Major,True,Minor,False
EveningRush,Normal,True,Autumn,Rain,False,True,Major,True,Minor,False
MorningRush,High,False,Autumn,Clear,True,True,NoDelay,True,NoDelay,False
MorningRush,High,False,Spring,Rain,True,False,Major,True,Minor,False
MorningRush,Low,False,Autumn,Clear,False,True,NoDelay,True,NoDelay,False
Midday,Normal,True,Autumn,Clear,False,True,Major,True,Major,True
Midday,Low,False,Summer,Snow,True,False,Minor,True,Major,False
Night,High,False,Spring,Rain,False,False,Major,True,Minor,True
Night,High,True,Spring,Storm,False,False,NoDelay,True,NoDelay,False
MorningRush,Low,True,Spring,Rain,False,True,Major,True,Minor,False
MorningRush,High,True,Autumn,Clear,True,True,Minor,False,Minor,False
MorningRush,High,False,Autumn,Rain,False,False,Minor,True,NoDelay,False
MorningRush,High,False,Autumn,Rain,False,False,Minor,True,Major,False
MorningRush,Low,True,Winter,Storm,False,True,Major,False,NoDelay,False
MorningRush,Low,True,Spring,Snow,False,True,Minor,True,Major,False
MorningRush,Low,True,Winter,Clear,True,False,Minor,False,NoDelay,False
Night,High,False,Spring,Snow,True,False,Minor,True,Major,True
Night,High,False,Spring,Snow,False,False,Minor,True,NoDelay,False
MorningRush,Low,True,Spring,Snow,True,True,NoDelay,True,NoDelay,False
EveningRush,Normal,True,Spring,Storm,True,False,NoDelay,True,NoDelay,False
Night,High,True,Spring,Snow,True,False,NoDelay,True,NoDelay,False
MorningRush,Low,True,Winter,Storm,True,True,NoDelay,True,NoDelay,False
EveningRush,Low,True,Winter,Snow,True,False,NoDelay,False,Minor,True
EveningRush,Low,False,Spring,Snow,False,False,Major,True,Minor,True
Night,Low,False,Autumn,Rain,False,True,Major,True,Minor,True
MorningRush,High,False,Spring,Storm,False,False,NoDelay,True,NoDelay,False
EveningRush,Normal,True,Autumn,Clear,True,True,Minor,True,Major,False
Night,High,False,Autumn,Clear,True,True,Major,False,Minor,False
MorningRush,High,False,Spring,Snow,False,True,Major,True,NoDelay,False
MorningRush,Low,False,Winter,Rain,False,False,Minor,True,NoDelay,False
Night,High,True,Summer,Snow,False,True,Major,True,Minor,False
EveningRush,Low,False,Spring,Rain,True,False,Minor,True,Major,True
EveningRush,Low,True,Summer,Snow,False,True,Major,True,Minor,True
EveningRush,Low,False,Autumn,Rain,False,True,NoDelay,True,Minor,False
EveningRush,Normal,True,Autumn,Clear,False,False,Major,True,Major,False
MorningRush,Low,True,Autumn,Clear,False,False,Major,True,Minor,False
EveningRush,Normal,False,Autumn,Rain,False,False,Minor,True,Minor,True
EveningRush,Normal,True,Autumn,Rain,False,True,Major,False,Major,False
Night,Low,True,Winter,Snow,False,False,NoDelay,True,NoDelay,False
MorningRush,Low,True,Spring,Snow,False,True,Minor,False,NoDelay,False
MorningRush,High,False,Autumn,Rain,False,False,NoDelay,True,Major,True
Night,High,True,Spring,Rain,False,False,NoDelay,True,NoDelay,False
Night,High,True,Spring,Snow,False,True,Minor,True,Minor,True
MorningRush,High,False,Summer,Snow,False,True,Major,True,Major,True
MorningRush,Low,True,Autumn,Snow,False,True,Minor,True,Major,True
MorningRush,Low,False,Summer,Snow,False,False,Major,True,NoDelay,False
EveningRush,Low,False,Autumn,Clear,False,False,Major,True,Minor,False
EveningRush,Low,True,Spring,Snow,False,True,Minor,True,Minor,False
EveningRush,Normal,True,Autumn,Rain,False,False,NoDelay,True,Minor,False
MorningRush,High,False,Winter,Storm,True,False,Minor,False,Minor,True
EveningRush,Low,True,Autumn,Snow,False,True,Minor,True,Major,False
EveningRush,Normal,True,Autumn,Rain,False,False,Major,True,Minor,False
EveningRush,Low,False,Autumn,Rain,True,False,Minor,True,NoDelay,False
Night,Low,False,Summer,Storm,True,False,Minor,True,NoDelay,False
MorningRush,Low,False,Autumn,Clear,True,False,Minor,False,NoDelay,False
Night,Low,True,Autumn,Clear,False,True,Major,False,Major,False
Night,High,False,Spring,Storm,False,False,Major,True,Minor,False
Night,Normal,True,Spring,Snow,False,True,Minor,True,Major,True
Night,Low,False,Autumn,Clear,False,True,NoDelay,True,NoDelay,False
MorningRush,High,False,Spring,Clear,False,False,Minor,True,Minor,False
Midday,Normal,True,Autumn,Clear,True,True,Major,True,Minor,False
MorningRush,High,False,Autumn,Storm,True,True,Minor,True,Major,False
MorningRush,High,False,Spring,Snow,False,True,Major,True,Minor,True
Night,Low,False,Winter,Clear,False,False,Minor,True,Major,True
MorningRush,Low,True,Spring,Snow,True,False,Minor,True,Minor,True
EveningRush,Low,False,Autumn,Snow,False,True,NoDelay,True,Minor,False
MorningRush,High,False,Spring,Rain,False,True,Major,True,Minor,False
MorningRush,Low,False,Winter,Clear,False,False,Minor,False,NoDelay,False
MorningRush,Low,False,Autumn,Rain,False,False,Major,False,NoDelay,False
Night,Low,False,Spring,Clear,False,False,Minor,True,Minor,False
MorningRush,Low,True,Autumn,Clear,False,False,Minor,True,Major,True
MorningRush,High,False,Summer,Storm,False,False,Major,True,Minor,False
Night,High,False,Autumn,Clear,True,False,Major,True,Minor,False
Night,High,False,Autumn,Clear,False,True,Minor,True,Minor,True
MorningRush,High,False,Autumn,Clear,False,True,NoDelay,True,NoDelay,False
MorningRush,High,False,Spring,Snow,False,True,Minor,True,Minor,False
MorningRush,High,False,Spring,Rain,False,False,Minor,True,Minor,True
Midday,High,False,Spring,Clear,False,False,Minor,False,Minor,True
EveningRush,Low,False,Autumn,Snow,False,False,Minor,False,NoDelay,False
MorningRush,High,False,Summer,Snow,True,False,Major,True,Minor,False
Night,Normal,True,Winter,Snow,False,True,NoDelay,True,NoDelay,False
Night,High,False,Autumn,Clear,True,True,NoDelay,False,Minor,True
Midday,Normal,True,Autumn,Rain,False,True,Major,True,Minor,False
Night,High,False,Spring,Snow,True,False,Minor,True,Minor,False
MorningRush,Low,False,Autumn,Rain,False,False,Major,True,Minor,False
Night,High,False,Spring,Rain,False,False,Minor,True,Major,True
EveningRush,Low,False,Autumn,Rain,False,True,Major,True,Major,True
EveningRush,Low,False,Winter,Clear,False,False,Major,False,Major,True
Night,High,False,Winter,Rain,True,False,Minor,True,Minor,True
Night,High,False,Autumn,Rain,False,True,Minor,False,Minor,False
Midday,High,False,Autumn,Clear,True,True,NoDelay,False,Minor,False
Night,Low,True,Summer,Storm,True,False,NoDelay,True,Major,True
EveningRush,High,False,Autumn,Snow,False,False,Minor,True,Major,False
MorningRush,High,False,Autumn,Snow,False,False,Major,True,Minor,False
Night,Low,True,Winter,Snow,False,True,Minor,True,Major,False
EveningRush,Normal,True,Summer,Snow,True,False,NoDelay,True,NoDelay,False
EveningRush,Normal,True,Spring,Storm,False,True,Minor,True,NoDelay,False
Night,Low,True,Summer,Storm,False,False,Major,True,Minor,True
Night,High,False,Spring,Snow,False,True,NoDelay,True,NoDelay,True
EveningRush,Low,True,Autumn,Rain,False,False,NoDelay,True,NoDelay,True
Night,High,False,Winter,Storm,False,True,NoDelay,True,Minor,False
MorningRush,Low,False,Winter,Storm,False,True,NoDelay,True,NoDelay,False
Night,High,False,Spring,Clear,False,False,Major,True,Minor,True
MorningRush,Low,False,Autumn,Rain,True,False,Major,True,Minor,True
EveningRush,Normal,False,Spring,Snow,False,False,Major,True,Minor,True
EveningRush,Normal,True,Autumn,Rain,False,True,Minor,True,NoDelay,False
Night,High,False,Autumn,Clear,False,False,Minor,True,NoDelay,False
MorningRush,High,True,Autumn,Rain,False,True,NoDelay,True,Major,False
EveningRush,Normal,True,Spring,Snow,False,True,NoDelay,True,Minor,True
Night,High,False,Spring,Clear,False,True,Major,True,Major,False
EveningRush,Normal,True,Winter,Clear,True,False,NoDelay,False,Minor,False
EveningRush,Normal,True,Spring,Clear,False,True,Minor,True,NoDelay,False
EveningRush,Normal,True,Autumn,Clear,False,False,Major,True,Minor,False
Night,High,False,Spring,Snow,False,False,Minor,True,Major,False
Night,Low,True,Spring,Clear,True,False,Major,True,Minor,False
EveningRush,Low,False,Spring,Clear,False,True,NoDelay,True,Minor,True
EveningRush,Low,True,Spring,Snow,False,True,Major,True,Minor,False
EveningRush,Normal,True,Autumn,Clear,False,True,Major,True,Minor,False
EveningRush,Normal,True,Spring,Rain,False,True,Major,True,Minor,False
MorningRush,High,False,Summer,Storm,True,True,Major,False,Minor,False
Midday,High,False,Autumn,Storm,True,False,Minor,True,Minor,True
Night,High,False,Autumn,Snow,False,True,NoDelay,True,NoDelay,False
Night,High,False,Spring,Clear,False,False,Minor,True,Major,True
Night,High,False,Spring,Storm,False,False,Major,True,Minor,False
MorningRush,High,False,Winter,Snow,True,True,NoDelay,True,NoDelay,False
Night,High,False,Spring,Clear,True,True,NoDelay,False,Minor,True
Night,Low,False,Winter,Rain,False,False,Major,True,Minor,True
MorningRush,High,True,Autumn,Snow,True,False,NoDelay,True,NoDelay,False
